nombre,apellido,edad,telefono
Mario,Adkins,27,88025
Eric,Adkins,53,05226
Katherine,Adkins,33,66641
Estelle,Adkins,53,29816
Carlos,Adkins,23,90716
Tommy,Adkins,51,57291
Charlie,Adkins,45,91343
Adrian,Adkins,33,47342
Ethan,Adkins,37,94976
Myra,Adkins,55,60309
Marc,Adkins,28,18723
Ollie,Adkins,56,83377
Madge,Adkins,41,32420
Cecelia,Adkins,18,68203
Leona,Adkins,19,24906
Dorothy,Adkins,41,85659
Johnny,Adkins,31,45140
Lloyd,Adkins,22,30723
Caleb,Aguilar,46,28272
Mattie,Aguilar,54,11041
Nancy,Aguilar,64,89507
Rosa,Aguilar,47,85818
Clarence,Aguilar,56,62404
Lois,Aguilar,44,40594
Lester,Aguilar,20,06051
Eula,Aguilar,34,09214
Keith,Aguilar,62,47081
Eddie,Aguilar,23,76595
Alvin,Aguilar,35,35121
Mike,Aguilar,21,65955
Martin,Aguilar,27,53593
Catherine,Aguilar,55,70399
Jim,Aguilar,33,66632
Paul,Aguilar,64,69151
Hunter,Aguilar,48,70979
Lewis,Aguilar,45,56755
Brett,Aguilar,49,07158
Harriet,Aguilar,21,06928
Brian,Aguilar,62,64847
Jeff,Aguilar,20,63245
Eugenia,Aguilar,51,94705
Linnie,Aguilar,52,96973
Albert,Aguilar,49,77802
Estelle,Aguilar,26,34683
Jeanette,Aguilar,28,04161
Bill,Aguilar,51,20075
Lawrence,Aguilar,37,53523
Oscar,Aguilar,58,98207
Nell,Aguilar,61,55347
Grace,Aguilar,34,67010
Travis,Alexander,25,57292
Bradley,Alexander,59,54522
Corey,Alexander,48,33388
Francis,Alexander,63,25687
Dean,Alexander,55,81305
Jesus,Alexander,61,09520
Owen,Alexander,22,92070
Ralph,Alexander,50,13617
Maggie,Alexander,48,61760
Nancy,Alexander,51,65502
Marcus,Alexander,46,81706
Ronnie,Alexander,22,48558
Lenora,Alexander,21,12001
Chester,Alexander,54,86902
Genevieve,Alexander,33,19670
Josephine,Alexander,45,57631
Elnora,Alexander,42,04709
Maurice,Alexander,41,64806
Connor,Alexander,44,08684
Cordelia,Alexander,38,20826
Shane,Alexander,32,66080
Ellen,Alexander,30,25420
Noah,Alexander,60,58967
Linnie,Alexander,24,11159
Albert,Alexander,51,47921
Dora,Alexander,48,14316
Lida,Alexander,20,92669
Bertie,Alexander,44,96887
Edwin,Alexander,24,35749
Matilda,Alexander,20,99770
Ollie,Alexander,48,19090
Steven,Alexander,56,85339
Bessie,Alexander,33,63535
Amelia,Alexander,58,65714
Kate,Alexander,52,30306
Eliza,Alexander,40,63419
Adeline,Alexander,40,17492
Virginia,Allen,21,67542
Willie,Allen,19,47358
James,Allen,24,71873
Rhoda,Allen,32,43751
Vernon,Allen,38,87221
Amanda,Allen,20,34664
Jerome,Allen,20,70369
Calvin,Allen,38,42218
Josephine,Allen,30,47339
Allie,Allen,34,43189
Iva,Allen,62,40952
Sophia,Allen,43,76132
Glenn,Allen,21,39116
Randall,Allen,34,02163
Alan,Allen,22,71851
Stanley,Allen,26,03551
Louisa,Allen,19,12623
Dylan,Allen,21,28006
Blanche,Allen,50,83299
Adele,Allen,64,61516
Peter,Allen,38,56557
Elva,Allen,43,32977
Delia,Allison,20,67648
Roy,Allison,35,27332
Winifred,Allison,21,52893
Jon,Allison,28,58631
Rodney,Allison,49,76745
Vincent,Allison,21,80014
Jackson,Allison,44,14279
Ryan,Allison,31,18192
Carl,Allison,47,66584
Arthur,Allison,21,72037
Duane,Allison,60,20178
Eugenia,Allison,27,74791
Katherine,Allison,20,01565
Carlos,Allison,44,89215
Agnes,Allison,65,37749
Allen,Allison,61,69450
Ernest,Allison,52,24682
Estella,Allison,51,21541
Bernice,Allison,34,08653
Lela,Allison,19,39471
Grace,Allison,20,52074
Millie,Allison,40,84384
Hester,Alvarado,56,12795
Hattie,Alvarado,33,46327
William,Alvarado,60,67199
Lora,Alvarado,43,44174
Myrtle,Alvarado,48,69694
Keith,Alvarado,52,32796
Ronnie,Alvarado,64,12713
Iva,Alvarado,36,29171
Christine,Alvarado,34,45128
Garrett,Alvarado,51,06341
Catherine,Alvarado,64,38164
Minerva,Alvarado,25,51252
Jayden,Alvarado,49,59181
Mayme,Alvarado,47,86153
Seth,Alvarado,38,08229
Fred,Alvarado,33,96499
Ellen,Alvarado,54,79517
Viola,Alvarado,37,62416
Estelle,Alvarado,62,97998
Ivan,Alvarado,54,33924
Vera,Alvarado,46,29958
Daniel,Alvarado,43,61346
Mamie,Alvarado,20,13646
Leroy,Alvarado,35,56549
Luella,Alvarado,36,24004
Travis,Alvarez,35,77671
Francis,Alvarez,34,08999
Lora,Alvarez,63,87513
Lois,Alvarez,55,10715
Louis,Alvarez,22,01390
Beulah,Alvarez,36,24517
Dollie,Alvarez,43,13124
David,Alvarez,53,55270
Carrie,Alvarez,35,73576
Luke,Alvarez,55,01702
Trevor,Alvarez,37,51549
Nathan,Alvarez,26,15779
Matilda,Alvarez,54,58013
Ollie,Alvarez,19,30189
Lottie,Alvarez,33,55066
Mable,Alvarez,21,36950
Lawrence,Alvarez,54,07449
Eugene,Alvarez,44,40070
Barry,Alvarez,24,19940
Ian,Alvarez,40,85780
Nelle,Alvarez,48,30768
Nell,Alvarez,61,37036
Terry,Alvarez,37,89032
Hester,Anderson,37,29510
Rose,Anderson,40,44338
Travis,Anderson,41,22976
Ricardo,Anderson,64,69288
Hannah,Anderson,43,67930
Maggie,Anderson,51,24228
Lydia,Anderson,39,16173
Robert,Anderson,41,62163
Dominic,Anderson,27,87902
Elnora,Anderson,61,61092
Alice,Anderson,26,99491
Paul,Anderson,35,21323
Derrick,Anderson,40,69725
Olivia,Anderson,45,05438
Harriet,Anderson,49,63909
Brett,Anderson,33,01857
Jacob,Anderson,65,92783
Jose,Anderson,37,81032
Manuel,Anderson,44,21355
Wesley,Anderson,50,52279
Ricky,Anderson,56,00924
Joe,Anderson,55,14588
Charlie,Anderson,64,44555
Allen,Anderson,65,37441
Ruby,Anderson,38,65959
Annie,Anderson,25,83075
Emilie,Anderson,63,04340
Phillip,Anderson,43,88676
Randy,Anderson,38,53825
Bessie,Anderson,32,31096
Jane,Anderson,53,36207
Mina,Anderson,28,59785
Harold,Anderson,44,82058
Marie,Anderson,52,47534
Violet,Andrews,37,38593
Ricardo,Andrews,38,31863
Willie,Andrews,35,31181
Maria,Andrews,63,71153
Brandon,Andrews,60,62388
Beatrice,Andrews,21,37225
Sally,Andrews,40,13383
Anthony,Andrews,37,51336
Sadie,Andrews,50,26707
Dominic,Andrews,41,16843
Allie,Andrews,34,01508
Jessie,Andrews,45,43182
Chad,Andrews,22,32925
Lizzie,Andrews,38,98021
Lura,Andrews,33,10735
Jackson,Andrews,56,44269
Mathilda,Andrews,22,35827
Duane,Andrews,43,60360
Micheal,Andrews,62,58061
Stella,Andrews,42,28221
Etta,Andrews,48,85368
Lelia,Andrews,26,98782
Allen,Andrews,30,69313
Lina,Andrews,20,88554
Mamie,Andrews,43,98378
Annie,Andrews,39,28282
Bernice,Andrews,32,00449
Madge,Andrews,24,04850
Donald,Andrews,38,75412
Hulda,Andrews,64,40296
Wayne,Andrews,61,63328
Nellie,Andrews,55,09761
Alma,Andrews,46,07324
Adeline,Andrews,50,91408
Bertha,Armstrong,39,73822
Landon,Armstrong,49,92172
Willie,Armstrong,23,84336
Phoebe,Armstrong,48,67865
Chase,Armstrong,38,51519
Brandon,Armstrong,20,09509
Nina,Armstrong,25,52154
Winifred,Armstrong,30,96779
Zachary,Armstrong,57,36217
Hallie,Armstrong,46,05751
Henry,Armstrong,38,90507
Roger,Armstrong,32,35827
Alvin,Armstrong,20,31310
Raymond,Armstrong,50,33153
Olivia,Armstrong,60,22089
Addie,Armstrong,61,78147
Jayden,Armstrong,63,34234
Eunice,Armstrong,49,03319
Ada,Armstrong,43,31410
Marian,Armstrong,25,67975
Ophelia,Armstrong,46,33468
Christian,Armstrong,59,79567
Christopher,Armstrong,37,89167
Verna,Armstrong,46,76455
Estelle,Armstrong,22,51731
Frank,Armstrong,51,57297
Jack,Armstrong,65,79885
Emilie,Armstrong,54,60591
Madge,Armstrong,36,95201
Devin,Armstrong,48,24235
Herbert,Armstrong,48,84188
Hester,Arnold,61,38989
Bess,Arnold,45,22330
Bradley,Arnold,63,61903
Fannie,Arnold,28,34461
Katie,Arnold,33,85781
Victor,Arnold,64,01094
Lettie,Arnold,29,65096
Sophie,Arnold,40,48980
Virgie,Arnold,28,43355
Cody,Arnold,54,22165
John,Arnold,57,37703
Thomas,Arnold,30,22102
Billy,Arnold,36,78648
Martin,Arnold,57,25368
Justin,Arnold,24,13064
Della,Arnold,38,62375
Minerva,Arnold,19,11989
Olivia,Arnold,42,11754
Clifford,Arnold,21,28814
Kenneth,Arnold,34,03362
Brian,Arnold,28,85440
Seth,Arnold,48,02298
Ada,Arnold,55,06318
Eugenia,Arnold,18,82159
Tommy,Arnold,40,88982
Russell,Arnold,21,85647
Jeanette,Arnold,30,57720
Antonio,Arnold,43,50000
Eugene,Arnold,24,27611
Eliza,Arnold,26,30378
Polly,Arnold,57,10657
Francis,Atkins,58,73554
Corey,Atkins,36,10856
Cornelia,Atkins,35,57305
Fannie,Atkins,37,45297
Olive,Atkins,63,54968
Lora,Atkins,46,17527
Stephen,Atkins,35,53319
Darrell,Atkins,32,62040
Henry,Atkins,32,22408
Mae,Atkins,18,88266
Garrett,Atkins,25,28962
Minerva,Atkins,19,30390
Benjamin,Atkins,33,75446
Mathilda,Atkins,48,22796
Ryan,Atkins,65,47844
Nora,Atkins,63,50199
Michael,Atkins,40,16808
Lelia,Atkins,35,05658
Mollie,Atkins,22,94964
Esther,Atkins,49,99440
Effie,Atkins,34,12394
Leah,Atkins,39,61096
Jane,Atkins,51,41144
Nellie,Atkins,51,83369
Elva,Atkins,64,01825
Polly,Atkins,30,37027
Alexander,Atkins,33,79523
Ricardo,Austin,30,95044
Nina,Austin,42,85112
Lettie,Austin,49,41426
Jerome,Austin,22,05523
Jon,Austin,22,36513
Lester,Austin,63,86947
Stephen,Austin,34,10847
Gussie,Austin,49,88646
Fanny,Austin,43,34686
Iva,Austin,59,42718
Martin,Austin,23,82314
Jayden,Austin,34,92578
Richard,Austin,56,80166
Brian,Austin,53,98740
Winnie,Austin,42,64183
Lucinda,Austin,56,50078
Agnes,Austin,44,18962
Roxie,Austin,33,82338
Harvey,Austin,35,12594
Daniel,Austin,29,04756
Essie,Austin,27,33686
Cameron,Austin,49,98617
Oscar,Austin,45,49872
Leona,Austin,53,83520
Aaron,Austin,26,64027
Peter,Austin,23,57816
Nicholas,Bailey,44,90894
Warren,Bailey,27,31188
Beatrice,Bailey,44,09181
Ronald,Bailey,26,71573
Eula,Bailey,50,96929
Cynthia,Bailey,50,09691
Billy,Bailey,53,40177
Carolyn,Bailey,26,11132
Garrett,Bailey,28,95419
Beulah,Bailey,64,43163
Kyle,Bailey,25,47905
Shawn,Bailey,65,59075
Hunter,Bailey,19,73232
Luis,Bailey,32,43565
Manuel,Bailey,42,10277
Agnes,Bailey,22,26019
Carlos,Bailey,61,16461
Matilda,Bailey,50,36898
Randy,Bailey,60,06858
Lucille,Bailey,51,65613
Charles,Bailey,58,63463
Jane,Bailey,46,63828
Evan,Bailey,42,93889
Johnny,Bailey,55,35359
Joel,Bailey,36,65638
Mina,Bailey,28,36790
Nell,Bailey,49,19143
Harold,Bailey,27,12507
Dale,Baker,63,55786
Patrick,Baker,28,59186
Marguerite,Baker,20,23485
Gordon,Baker,38,22256
Marcus,Baker,43,56227
Lester,Baker,36,31937
Eddie,Baker,22,62690
Ora,Baker,46,97531
Lewis,Baker,54,04557
Benjamin,Baker,44,62422
Arthur,Baker,30,53333
Glenn,Baker,59,74280
Fred,Baker,41,46185
Jonathan,Baker,31,40386
Lena,Baker,48,64595
Cameron,Baker,56,50129
Nettie,Baker,19,45682
Sue,Baker,20,27455
Frances,Baker,55,36480
Hulda,Baker,58,87623
Aaron,Baker,25,67066
Alexander,Baker,60,68770
Grace,Baker,55,27576
Lillian,Baldwin,36,13160
Jesus,Baldwin,25,19746
Owen,Baldwin,51,90794
Inez,Baldwin,21,51993
Austin,Baldwin,38,01817
William,Baldwin,26,58948
Chris,Baldwin,61,79768
Amanda,Baldwin,27,45171
Eula,Baldwin,27,64120
Cody,Baldwin,20,91809
Henry,Baldwin,20,58277
Allie,Baldwin,22,56074
Sophia,Baldwin,36,29114
Lura,Baldwin,26,19542
Dollie,Baldwin,28,96908
Mildred,Baldwin,20,60222
Marvin,Baldwin,39,57937
Elmer,Baldwin,29,07216
Manuel,Baldwin,40,09703
Carl,Baldwin,42,12331
Wesley,Baldwin,48,04160
Alex,Baldwin,30,83129
Katherine,Baldwin,54,37557
Kevin,Baldwin,64,68598
Michael,Baldwin,60,72456
Tillie,Baldwin,38,74808
Ivan,Baldwin,44,47182
Trevor,Baldwin,46,96463
Emilie,Baldwin,39,23690
Phillip,Baldwin,38,37287
Marion,Baldwin,23,90509
Cecelia,Baldwin,37,57541
Leah,Baldwin,48,35269
Leon,Baldwin,54,95137
Charles,Baldwin,62,77221
Jared,Baldwin,34,42777
Johnny,Baldwin,44,67459
Birdie,Baldwin,60,00106
Millie,Baldwin,26,60868
Theodore,Baldwin,64,91978
Landon,Ball,60,98250
Fannie,Ball,58,05392
Roy,Ball,41,89252
Chase,Ball,35,90716
Olive,Ball,43,66665
Barbara,Ball,52,37435
Evelyn,Ball,33,50403
Scott,Ball,26,40455
Fanny,Ball,53,72868
Christine,Ball,59,00413
Mark,Ball,61,04847
Jose,Ball,45,94315
Larry,Ball,22,24437
Elizabeth,Ball,40,50497
Troy,Ball,54,64189
Rosie,Ball,26,32604
Loretta,Ball,28,19368
Tony,Ball,57,64605
Nora,Ball,19,81841
Brent,Ball,55,54663
Estelle,Ball,43,58576
Rena,Ball,39,95141
Mollie,Ball,65,48653
Effie,Ball,33,96678
Ernest,Ball,59,95186
Essie,Ball,29,64046
Johnny,Ball,41,15594
Joseph,Ball,45,86910
Ruth,Ball,21,40439
Rachel,Ball,50,65636
Don,Ballard,43,44754
Virginia,Ballard,49,85635
Lou,Ballard,27,94263
Corey,Ballard,33,24733
Bettie,Ballard,47,35328
Maria,Ballard,32,91269
James,Ballard,61,29097
Lettie,Ballard,40,73906
Ronald,Ballard,54,03282
Edith,Ballard,65,00351
Dominic,Ballard,35,19377
Josephine,Ballard,37,83564
Scott,Ballard,38,47639
Mike,Ballard,36,81129
Isabel,Ballard,51,30895
Beulah,Ballard,54,47083
Minnie,Ballard,38,63845
Derrick,Ballard,40,96412
Lewis,Ballard,28,37596
Shane,Ballard,30,32211
Marian,Ballard,48,89387
Lee,Ballard,18,97540
Harry,Ballard,39,77819
Nathaniel,Ballard,41,69999
Nathan,Ballard,29,35984
Ruby,Ballard,25,81440
Mamie,Ballard,38,28538
Jack,Ballard,29,53809
Annie,Ballard,35,80557
Marc,Ballard,26,06564
Lulu,Ballard,55,22203
Juan,Ballard,35,38506
Myrtie,Ballard,54,80948
Bernice,Ballard,52,33119
Aiden,Ballard,58,47219
Jimmy,Ballard,35,73150
Amelia,Ballard,63,79463
Terry,Ballard,53,18901
Hester,Banks,34,29529
Nicholas,Banks,62,07380
Bryan,Banks,44,46195
Patrick,Banks,57,87828
Helen,Banks,46,33837
Maud,Banks,55,79225
Nancy,Banks,38,56740
Evelyn,Banks,37,70318
Barbara,Banks,28,68164
Myrtle,Banks,37,14812
Lucas,Banks,40,18178
Scott,Banks,34,05148
Alvin,Banks,30,62080
Danny,Banks,36,54183
Derrick,Banks,35,02268
Herman,Banks,37,37931
Jacob,Banks,44,31251
Lena,Banks,50,98885
Estelle,Banks,65,91523
Vera,Banks,36,33689
Augusta,Banks,43,85700
Lottie,Banks,20,77292
Myra,Banks,52,09141
Lawrence,Banks,37,31027
Estella,Banks,30,96739
Leona,Banks,59,26466
Alma,Banks,43,45432
Herbert,Banks,44,56432
Lela,Banks,25,85391
Johanna,Barber,38,41763
Ann,Barber,55,83466
Maria,Barber,39,88179
Warren,Barber,25,66230
Charlotte,Barber,56,26217
Lenora,Barber,19,82438
Keith,Barber,42,96155
Shawn,Barber,51,51657
Mayme,Barber,32,98547
Elizabeth,Barber,57,03823
David,Barber,45,11679
Tillie,Barber,49,40401
Albert,Barber,34,34835
Bernard,Barber,54,27461
Howard,Barber,22,60787
Matilda,Barber,45,88538
Allen,Barber,64,71948
Ethan,Barber,34,33685
Gary,Barber,62,49839
Marc,Barber,38,31326
Cecelia,Barber,25,21651
Hulda,Barber,58,03161
Barry,Barber,56,68047
Aaron,Barber,28,35463
Joseph,Barber,26,10103
Sara,Barker,36,79600
Violet,Barker,31,05205
Nicholas,Barker,65,81501
Sallie,Barker,35,90920
Maria,Barker,59,54207
Patrick,Barker,23,73252
Chris,Barker,24,99532
Warren,Barker,27,64474
Lois,Barker,44,37970
Claudia,Barker,32,43430
Harriett,Barker,39,08289
Kyle,Barker,55,86133
Christine,Barker,24,86333
Connor,Barker,18,92409
Douglas,Barker,59,14388
Georgie,Barker,40,96588
Laura,Barker,28,65635
Tony,Barker,58,18185
Ricky,Barker,42,34431
Lelia,Barker,63,33488
Stanley,Barker,44,79410
Daniel,Barker,42,18059
Phillip,Barker,21,99820
Antonio,Barker,51,86639
Oscar,Barker,41,11863
Earl,Barker,44,93288
Jimmy,Barker,33,01824
Nelle,Barker,56,55716
Ruth,Barker,61,35875
Sean,Barker,30,67639
Virginia,Barnes,52,84258
Hester,Barnes,28,55282
Ricardo,Barnes,52,62280
Sallie,Barnes,64,31090
James,Barnes,29,04329
Rhoda,Barnes,30,53155
Virgie,Barnes,21,88605
Lois,Barnes,40,15736
Lydia,Barnes,38,52893
Jordan,Barnes,29,47263
Alice,Barnes,61,55047
Lucy,Barnes,42,80779
Della,Barnes,29,16486
Philip,Barnes,50,82322
Derrick,Barnes,44,65869
Douglas,Barnes,53,59940
Marvin,Barnes,49,79232
Jacob,Barnes,33,25195
Ricky,Barnes,45,79764
Lula,Barnes,50,17565
Verna,Barnes,26,12225
Flora,Barnes,52,45560
Clyde,Barnes,31,33505
Roxie,Barnes,39,02827
Lina,Barnes,54,14207
Mollie,Barnes,28,15611
Augusta,Barnes,52,54729
Amy,Barnes,20,26418
Teresa,Barnes,46,32013
Blanche,Barnes,35,12262
Lela,Barnes,40,37205
Elva,Barnes,36,89834
Caleb,Barnett,42,56228
Helena,Barnett,25,74888
Willie,Barnett,54,27016
Jeffrey,Barnett,40,04785
Chase,Barnett,30,50244
Beatrice,Barnett,43,39993
Jean,Barnett,29,71693
Isabelle,Barnett,27,26423
Myrtle,Barnett,42,40796
Dominic,Barnett,36,76595
Rodney,Barnett,49,63651
Logan,Barnett,53,10803
Mildred,Barnett,28,59773
Winnie,Barnett,41,86033
Ophelia,Barnett,46,91056
Dustin,Barnett,59,31728
Fred,Barnett,18,19944
Cecilia,Barnett,39,80300
May,Barnett,31,13906
Michael,Barnett,28,06812
Nathan,Barnett,60,60296
Rena,Barnett,56,77285
Lina,Barnett,33,82137
Sue,Barnett,50,56463
Mamie,Barnett,63,65680
Dennis,Barnett,23,98295
Ray,Barnett,40,87257
Teresa,Barnett,39,29157
Ella,Barnett,56,24801
Ruth,Barnett,28,83103
Aaron,Barnett,24,72436
Theodore,Barnett,55,05309
Lilly,Barnett,50,78812
Marie,Barnett,49,54783
Henrietta,Barnett,27,87827
Virginia,Barrett,36,23075
Lillian,Barrett,43,30357
Ricardo,Barrett,43,93435
Celia,Barrett,32,98250
Hattie,Barrett,29,16470
Roy,Barrett,62,20641
Victor,Barrett,22,80157
Chris,Barrett,62,77618
Winifred,Barrett,44,80477
John,Barrett,36,29515
Hallie,Barrett,23,15508
Todd,Barrett,48,65920
Fanny,Barrett,53,62497
Kyle,Barrett,18,91877
Jacob,Barrett,65,63238
Adam,Barrett,50,63713
David,Barrett,26,15567
Duane,Barrett,36,94227
Christopher,Barrett,51,62591
Carrie,Barrett,36,88937
May,Barrett,22,38059
Louise,Barrett,25,33329
Carlos,Barrett,40,49876
Nathaniel,Barrett,45,58791
Oscar,Barrett,32,40725
Ina,Barrett,21,37550
Jared,Barrett,64,05487
Rachel,Barrett,53,30599
Theodore,Barrett,57,99796
Helen,Barton,33,00346
Clarence,Barton,61,07930
Sadie,Barton,47,20477
Lily,Barton,39,04059
Eddie,Barton,39,67523
Jessie,Barton,62,38059
Jose,Barton,45,18042
Mildred,Barton,50,60037
Blake,Barton,57,95747
Georgie,Barton,18,31424
Katherine,Barton,62,61124
Anne,Barton,54,39895
Edwin,Barton,42,90495
Matilda,Barton,64,97007
Allen,Barton,29,39494
Daniel,Barton,58,16362
Essie,Barton,31,66191
Nettie,Barton,52,58951
Marc,Barton,54,73367
Phillip,Barton,50,85524
Hulda,Barton,55,23577
Luella,Barton,28,96784
Lloyd,Barton,46,58313
Angel,Bass,52,33373
Phoebe,Bass,62,82244
Bryan,Bass,43,66321
Glen,Bass,55,40536
Rhoda,Bass,49,19633
Nancy,Bass,62,48267
Edna,Bass,57,50903
Gertrude,Bass,20,67258
Keith,Bass,54,50189
John,Bass,42,33062
Genevieve,Bass,49,26596
Alvin,Bass,26,10807
Mae,Bass,27,97249
Elmer,Bass,38,21988
Kenneth,Bass,61,47587
Douglas,Bass,65,51361
Christopher,Bass,23,82474
Michael,Bass,43,85653
Harry,Bass,59,42910
Tom,Bass,51,24987
Margaret,Bass,41,99776
Effie,Bass,44,34406
Katharine,Bass,48,61526
Estella,Bass,29,16051
Craig,Bass,56,23338
Emily,Bass,59,18862
Eliza,Bass,25,58765
Janie,Bass,48,15799
Ruth,Bass,18,56042
Hettie,Bass,46,67998
Grace,Bass,50,66258
Bradley,Bates,41,06647
Maude,Bates,58,36136
Adelaide,Bates,35,66511
Cornelia,Bates,63,41818
Dale,Bates,22,01518
Patrick,Bates,55,34108
Vernon,Bates,40,01090
Lenora,Bates,60,68863
Dominic,Bates,21,67594
Alvin,Bates,24,79569
Lizzie,Bates,50,47706
Shawn,Bates,18,56343
Harriett,Bates,37,87088
Addie,Bates,51,40734
Herman,Bates,56,98585
Jacob,Bates,41,94208
Mark,Bates,46,57226
Eunice,Bates,45,91420
Logan,Bates,65,04589
Winnie,Bates,39,40056
David,Bates,44,11549
Fred,Bates,40,83372
Alberta,Bates,60,81783
Cory,Bates,53,89737
Carrie,Bates,40,47441
Lucinda,Bates,60,97390
Jason,Bates,41,69330
Tommy,Bates,58,48566
Estelle,Bates,37,59913
Dora,Bates,46,79948
Agnes,Bates,19,61626
Randall,Bates,26,95659
Carlos,Bates,60,42669
Vera,Bates,46,15601
Rena,Bates,52,41084
Essie,Bates,59,49682
Leah,Bates,48,73330
Wayne,Bates,58,81128
Ian,Bates,32,02322
Charles,Bates,41,63605
Ella,Bates,46,30028
Jane,Bates,43,79015
Irene,Bates,58,00273
Caroline,Bates,19,77258
Ruth,Bates,18,29124
Adeline,Bates,55,88066
Pearl,Bates,23,67124
Bobby,Beck,51,39406
James,Beck,49,94086
Hannah,Beck,23,78256
Rhoda,Beck,41,86845
Lillie,Beck,31,49250
Lettie,Beck,28,53283
Callie,Beck,61,22894
Gertrude,Beck,48,37783
Edna,Beck,39,82704
Ronnie,Beck,21,54557
Chester,Beck,39,91801
Jerry,Beck,32,29696
Jordan,Beck,44,31481
Elsie,Beck,63,46907
Herman,Beck,49,27274
Isaiah,Beck,54,65898
Laura,Beck,54,85549
Dora,Beck,63,92442
Andre,Beck,37,13383
Agnes,Beck,27,35258
Frank,Beck,59,95310
Victoria,Beck,44,83881
Dennis,Beck,24,34767
Milton,Beck,65,42924
Steven,Beck,65,05622
Bessie,Beck,57,13078
Emily,Beck,30,92353
Jane,Beck,57,63661
Jared,Beck,33,34879
Aaron,Beck,42,89659
Angel,Becker,25,72547
Don,Becker,32,52324
Helena,Becker,57,90576
Bradley,Becker,46,46068
Landon,Becker,40,60328
Nicholas,Becker,65,85183
Austin,Becker,54,23393
Katie,Becker,55,35632
Julian,Becker,44,18687
Jon,Becker,35,51438
Darrell,Becker,29,13813
Louis,Becker,56,43730
Lola,Becker,44,99357
Alice,Becker,48,62998
Mae,Becker,62,51524
Shawn,Becker,61,42161
Christine,Becker,42,58172
Isaac,Becker,36,36126
Eugenia,Becker,65,99037
Alta,Becker,61,47310
Rosetta,Becker,46,51532
May,Becker,32,56836
Jason,Becker,62,86129
Edward,Becker,57,59485
Ethan,Becker,53,26915
Augusta,Becker,24,33035
Myra,Becker,20,74258
Lottie,Becker,32,42850
Josie,Becker,58,02647
Leah,Becker,42,63484
Steven,Becker,34,07357
Eugene,Becker,48,99780
Ruth,Becker,21,94281
Abbie,Bell,22,89256
Martha,Bell,49,25546
Chase,Bell,35,36041
Hannah,Bell,62,86428
Lois,Bell,45,41974
Lucile,Bell,54,96256
Alejandro,Bell,25,53888
Catherine,Bell,50,52398
Shawn,Bell,43,66216
Lura,Bell,52,29027
Mark,Bell,19,60016
Eunice,Bell,57,29517
Edgar,Bell,21,91327
Glenn,Bell,30,39898
Mason,Bell,22,82592
Winnie,Bell,38,48832
